Gene_ID	Gene_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12
ENSG00000000001	GENE1_1	8.11	7.72	7.33	8.8	7.89	5.79	8.69	7.4	7.89	7.36	8.28	10.62
ENSG00000000002	GENE1_2	8.24	7.51	8.0	9.55	8.21	4.34	9.01	6.56	5.99	7.87	7.92	10.85
ENSG00000000003	GENE1_3	8.11	6.92	8.29	8.8	7.69	4.83	8.73	7.96	7.95	8.44	8.85	10.61
ENSG00000000004	GENE1_4	7.34	7.22	7.5	9.7	7.59	6.41	8.17	6.81	8.03	9.08	8.77	10.83
ENSG00000000005	GENE1_5	8.57	7.6	6.92	9.08	8.32	4.14	8.68	7.62	7.38	8.67	8.81	11.72
ENSG00000000006	GENE1_6	8.08	7.29	7.44	8.91	8.32	4.67	8.62	7.91	7.13	8.06	7.36	9.68
ENSG00000000007	GENE1_7	7.37	7.9	8.49	9.39	7.9	5.11	9.32	8.0	7.73	7.63	9.01	10.56
ENSG00000000008	GENE1_8	8.45	7.64	8.95	9.19	8.7	5.07	8.35	6.79	7.48	9.09	8.95	10.74
ENSG00000000009	GENE1_9	6.29	8.08	8.11	9.07	7.37	5.0	9.7	6.83	7.31	9.05	8.2	10.11
ENSG00000000010	GENE1_10	7.77	6.91	7.91	8.68	8.28	5.01	10.03	7.63	8.39	7.45	8.39	10.52
ENSG00000000011	GENE1_11	8.76	6.65	8.37	9.76	8.66	5.43	8.7	7.15	6.82	8.35	8.35	11.54
ENSG00000000012	GENE1_12	7.35	7.85	6.84	9.17	7.9	5.5	9.53	7.44	6.9	8.51	8.77	10.62
ENSG00000000013	GENE1_13	7.29	8.33	7.83	9.82	8.51	5.37	8.84	8.76	7.71	8.05	8.53	11.22
ENSG00000000014	GENE1_14	7.78	7.97	8.49	9.1	6.71	5.18	8.8	7.1	8.09	8.6	7.87	10.64
ENSG00000000015	GENE1_15	7.59	6.76	8.05	9.38	7.3	5.32	8.96	7.12	7.81	8.84	8.04	10.56
ENSG00000000016	GENE2_1	7.59	12.57	4.11	9.51	6.12	9.0	11.7	9.03	11.88	7.29	10.6	6.5
ENSG00000000017	GENE2_2	7.11	12.2	4.56	9.81	8.16	7.65	10.84	7.72	13.23	7.4	7.53	7.0
ENSG00000000018	GENE2_3	8.84	13.81	4.61	9.58	6.64	7.29	11.83	8.28	12.83	6.83	8.01	6.55
ENSG00000000019	GENE2_4	7.31	12.92	2.89	9.19	7.66	8.71	11.85	8.58	12.24	6.67	8.3	7.93
ENSG00000000020	GENE2_5	8.6	12.82	6.27	9.37	7.76	7.98	11.67	9.37	13.39	6.28	8.46	7.28
ENSG00000000021	GENE2_6	8.48	11.72	2.92	8.25	7.34	7.74	12.01	7.52	11.75	5.9	8.9	7.24
ENSG00000000022	GENE2_7	8.6	13.01	4.16	10.2	7.31	7.4	11.49	7.63	11.18	7.21	8.85	6.8
ENSG00000000023	GENE2_8	7.58	12.76	5.31	9.41	7.08	7.44	11.76	7.22	12.41	7.15	9.81	7.58
ENSG00000000024	GENE2_9	8.63	12.1	4.68	8.71	7.57	8.05	11.34	9.18	12.82	5.97	9.03	6.77
ENSG00000000025	GENE2_10	8.01	12.81	4.51	8.17	6.69	8.26	12.58	9.12	13.56	5.88	9.16	5.87
ENSG00000000026	GENE2_11	8.97	12.68	3.59	10.6	7.77	6.66	11.98	7.54	12.55	6.84	9.53	6.16
ENSG00000000027	GENE2_12	8.2	13.62	3.78	9.52	7.51	7.39	12.19	8.04	11.92	8.17	9.18	6.92
ENSG00000000028	GENE2_13	7.62	12.06	5.01	9.3	7.66	7.69	12.17	7.91	12.94	7.01	9.2	7.42
ENSG00000000029	GENE2_14	7.94	12.02	3.71	8.95	6.8	8.32	11.78	8.92	13.85	7.13	7.77	6.79
ENSG00000000030	GENE2_15	7.96	11.64	4.13	9.56	7.11	7.34	11.35	9.05	12.39	6.62	8.48	7.59
ENSG00000000031	GENE3_1	5.92	9.3	9.08	8.94	10.41	7.05	8.99	6.63	7.31	10.04	10.27	8.37
ENSG00000000032	GENE3_2	6.27	8.56	9.87	8.59	10.6	6.52	10.31	6.54	7.23	11.07	9.78	7.82
ENSG00000000033	GENE3_3	5.9	9.4	9.77	10.37	10.35	6.91	10.23	6.36	7.21	9.36	10.14	8.4
ENSG00000000034	GENE3_4	7.31	10.31	9.26	9.48	10.81	8.06	9.23	6.71	6.32	8.84	8.43	7.18
ENSG00000000035	GENE3_5	7.27	8.44	9.32	8.8	11.17	6.24	11.06	5.82	6.75	10.47	9.66	8.86
ENSG00000000036	GENE3_6	6.7	8.24	9.12	9.15	11.23	7.13	10.19	6.94	6.89	10.31	9.75	8.92
ENSG00000000037	GENE3_7	6.57	8.75	8.83	9.91	10.45	7.11	9.12	7.04	6.41	9.93	10.28	7.2
ENSG00000000038	GENE3_8	6.58	9.01	8.86	10.3	11.7	5.72	9.4	6.9	6.43	10.16	9.72	8.42
ENSG00000000039	GENE3_9	6.5	9.02	8.99	10.27	10.5	7.1	9.96	6.48	7.11	10.29	9.04	8.48
ENSG00000000040	GENE3_10	7.48	9.11	9.9	10.0	11.36	7.08	10.39	6.93	7.25	9.81	9.66	6.87
ENSG00000000041	GENE3_11	6.63	9.21	10.2	9.59	11.36	6.9	9.65	5.57	6.63	9.57	10.02	7.88
ENSG00000000042	GENE3_12	6.97	9.01	10.08	10.13	10.41	6.73	9.95	5.44	7.61	11.11	9.64	7.71
ENSG00000000043	GENE3_13	7.29	7.56	9.56	9.58	10.46	7.73	10.85	6.26	7.15	10.16	9.34	7.22
ENSG00000000044	GENE3_14	7.46	9.58	9.93	8.84	12.05	8.09	10.38	5.87	6.69	10.64	9.1	7.98
ENSG00000000045	GENE3_15	7.28	8.06	10.66	10.44	10.06	6.05	10.1	5.8	7.05	8.84	9.51	9.09
ENSG00000000046	GENE4_1	5.66	7.55	5.25	8.97	7.8	12.92	7.75	8.3	8.95	6.53	6.78	8.7
ENSG00000000047	GENE4_2	6.59	7.94	4.01	9.35	7.23	11.08	7.35	7.32	9.45	7.22	5.14	8.12
ENSG00000000048	GENE4_3	5.17	7.12	4.4	9.15	7.54	11.34	8.27	6.8	9.1	7.29	5.43	8.89
ENSG00000000049	GENE4_4	4.78	7.23	5.19	9.66	6.59	11.98	9.14	7.15	9.04	7.26	5.47	9.01
ENSG00000000050	GENE4_5	5.81	7.55	4.55	9.17	8.3	11.76	8.31	6.96	9.57	6.47	5.87	8.04
ENSG00000000051	GENE4_6	5.13	7.58	5.1	9.46	8.19	11.63	8.68	6.71	9.86	7.37	5.64	8.72
ENSG00000000052	GENE4_7	5.3	7.26	5.32	9.26	7.62	11.07	8.52	6.84	8.45	6.89	4.21	9.02
ENSG00000000053	GENE4_8	6.28	7.42	4.42	8.71	7.46	10.43	8.52	7.65	8.91	6.69	5.43	8.81
ENSG00000000054	GENE4_9	6.42	7.46	4.61	9.0	7.66	12.82	8.22	6.62	8.58	5.73	5.52	7.79
ENSG00000000055	GENE4_10	5.03	6.27	4.35	9.62	6.76	10.83	8.52	7.05	9.36	7.43	5.32	7.83
ENSG00000000056	GENE4_11	5.69	7.75	4.67	8.41	8.21	11.63	8.17	7.27	9.72	7.15	5.12	9.01
ENSG00000000057	GENE4_12	7.06	8.29	5.42	8.6	9.8	11.16	8.19	6.84	10.08	7.24	4.47	8.76
ENSG00000000058	GENE4_13	6.09	7.26	4.29	8.84	7.29	11.9	8.1	7.7	8.53	5.95	4.88	9.41
ENSG00000000059	GENE4_14	5.42	8.86	5.32	8.58	7.05	12.03	7.71	8.68	8.51	7.4	6.2	8.54
ENSG00000000060	GENE4_15	5.17	7.29	5.24	9.8	7.58	11.04	8.44	6.85	7.79	6.57	4.46	8.96
